date,close,volume,open,high,low
9/2/16,772.44,2168238,774.11,776,771.7
9/1/16,770.62,1790751,770.9,772.04,766.75
8/31/16,769.16,1630792,766.6,769.64,764
8/30/16,767.58,1788141,771.05,771.8358,765.56
8/29/16,771.29,2196156,768.72,774.98,768.6
8/26/16,769,2769520,760.05,770,759.795
8/25/16,759.22,1622017,756,760.56,754.741
8/24/16,757.25,1742565,763,763.41,755.36
8/23/16,762.45,1521747,763.31,764.7,761
8/22/16,759.48,1677625,757.5,759.85,752.1
8/19/16,757.31,2337567,761.9,762.49,756.89
8/18/16,764.46,1458281,764,765.17,760.6
8/17/16,764.63,1887316,764.41,765.22,759.199
8/16/16,764.04,1601165,768.62,768.7317,763.82
8/15/16,768.49,2116300,771.9,772.04,767.71
8/12/16,772.56,1562083,768.46,773.15,768.4225
8/11/16,771.24,2017239,769.94,773.75,769.12
8/10/16,768.56,1601412,769.8,772.1,766.19
8/9/16,768.31,1874890,767.39,772.6,766.9
8/8/16,766.56,1981337,766.81,767,761.015
8/5/16,765.98,2702266,764.81,768.47,763.09
8/4/16,760.77,3176858,753.7,765,750.35
8/3/16,754.64,3579523,757.06,758.89,752.25
8/2/16,760.58,3596808,763.81,765.01,757.02
8/1/16,767.74,3572321,759.87,770.5,757.06
7/29/16,758.81,6763498,765,766,755
7/28/16,752.61,7246871,745.98,753.36,739.7
7/27/16,736.67,2871079,737.97,740.94,733.86
7/26/16,735.59,2497689,742.71,743.13,732.7525
7/25/16,739.61,2673985,746.55,748.5,735.35
7/22/16,744.86,2259345,747.79,751.28,743.53
7/21/16,744.43,2315367,747.5,749.36,742.7918
7/20/16,745.72,2192779,744,746.25,740.7
7/19/16,739.95,2210751,732.5,743.33,732.31
7/18/16,736.07,2952099,735.49,741.5954,728.72
7/15/16,735.44,3099239,746.55,746.55,734.05
7/14/16,741.2,2385498,748.86,749.04,739.02
7/13/16,742.63,4130770,746.76,756.87,741.25
7/12/16,748.21,5608111,756.86,757.34,740.33
7/11/16,753.78,3190358,750,755.9,747
7/8/16,745.81,3427197,740.14,746.1,738
7/7/16,736.57,2939304,739.33,739.55,731.63
7/6/16,737.61,3929890,725.71,737.77,722.58
7/5/16,728.1,2426204,722.8,729.56,719.61
7/1/16,725.68,2918061,717.32,728,716.54
6/30/16,715.62,2843622,717.2,719.37,712.54
6/29/16,715.6,3065364,715.75,719.5,713.54
6/28/16,707.95,4032509,700,708,698.1714
6/27/16,691.36,5571322,692.01,696.8189,682.115
6/24/16,698.96,7613808,693,712.5292,692.2
6/23/16,722.08,2808909,715.5,722.12,712.5
6/22/16,710.6,2255233,716.58,717,707.565
6/21/16,715.82,2111948,715.72,718.4,712.721
6/20/16,714.01,3673116,713.5,721.31,710.81
6/17/16,706.39,5863150,718.19,718.2,699.18
6/16/16,717.51,3094837,712.05,718,705.3
6/15/16,714.26,2705287,722,722.56,713.3522
6/14/16,719.3,2499062,712.33,720.805,712.27
6/13/16,715.24,3349654,714.01,721.99,711.16
6/10/16,717.91,3420884,722.35,724.98,714.21
6/9/16,727.65,2169259,723.1,728.91,722.3
6/8/16,726.64,2221777,726.4,729.42,721.6
6/7/16,723.74,2730693,729.89,730,720.55
6/6/16,726.73,2695531,726.5,731.5,724.42
6/3/16,725.54,3362610,726.74,727,718.43
6/2/16,728.24,3022321,720.97,728.28,715.5001
6/1/16,719.44,3260486,720.9,726.43,718.22
5/31/16,722.79,3612510,712.33,724.23,711.32
5/27/16,712.24,2247612,715,716.6,711.1
5/26/16,714.91,2441497,708.33,715,707.293
5/25/16,708.35,3269475,708,710.86,705.5159
5/24/16,704.2,3026450,698.01,707.5,698
5/23/16,696.75,2586909,704.25,706,696.42
5/20/16,702.8,2875429,701.05,707.24,700
5/19/16,698.52,3022212,691.88,699.4,689.56
5/18/16,697.45,4277735,689.56,702.5399,688.76
5/17/16,695.27,5102768,709.9,714.47,693.91
5/16/16,710.66,5431729,710.13,713.25,700.28
5/13/16,709.92,4750859,714.64,719.25,706.51
5/12/16,717.93,5038030,717.38,722.45,711.51
5/11/16,713.23,7327956,705.79,719,701.65
5/10/16,703.07,6093507,694,704.55,693.5
5/9/16,679.75,3974324,673.95,686.98,671.41
5/6/16,673.95,4362455,656.05,676.95,656.01
5/5/16,659.09,4877179,673.31,676.49,656
5/4/16,670.9,4631988,662.59,674,662.14
5/3/16,671.32,4917284,677.36,680.3,670.43
5/2/16,683.85,6567445,663.92,685.5,662.0251
4/29/16,659.59,10303510,666,669.98,654
4/28/16,602,7631449,615.54,626.8,599.2
4/27/16,606.57,4058455,611.8,615.95,601.28
4/26/16,616.88,2507082,626.17,626.7549,614.88
4/25/16,626.2,2680835,616.61,626.98,616.2511
4/22/16,620.5,5081401,624.47,628.25,611.56
4/21/16,631,2569681,631,637.82,628.5
4/20/16,632.99,2603048,630,636.55,623
4/19/16,627.9,4054469,637.14,638.01,620.8
4/18/16,635.35,4351587,625.35,637.64,624.9603
4/15/16,625.89,2883933,621.92,626.77,618.11
4/14/16,620.75,3508881,615.07,624.38,615.07
4/13/16,614.82,4224742,607.68,616.81,605.29
4/12/16,603.17,2637241,598.4,604.06,592.31
4/11/16,595.93,2700997,596.14,604,594.91
4/8/16,594.6,2590326,594.32,597.86,589
4/7/16,591.43,3185912,598.76,599.6,589.08
4/6/16,602.08,2846646,587.52,602.39,587.5
4/5/16,586.14,2279713,590.77,593.47,585.25
4/4/16,593.19,2469551,599,599.5,590.55
4/1/16,598.5,2914176,590.49,599.03,588.3
3/31/16,593.64,2679930,599.28,600.75,592.21
3/30/16,598.69,3888192,596.71,603.24,595
3/29/16,593.86,4246662,580.15,595.85,576.5
3/28/16,579.87,3121139,584.4,584.75,575.56
3/24/16,582.95,5155728,567.11,583.55,567.08
3/23/16,569.63,3978088,561,572.48,558.1
3/22/16,560.48,3997376,545.11,562.76,545.05
3/21/16,553.98,5151552,548.91,555.24,538.58
3/18/16,552.08,7293341,560.94,562.33,546.09
3/17/16,559.44,5919980,569.51,571.4,555.01
3/16/16,574.27,3515329,576.64,581.32,571.14
3/15/16,577.02,3870822,571,581.52,567
3/14/16,573.37,3453040,567,576.89,563.05
3/11/16,569.61,3769218,566.95,570.06,562.73
3/10/16,558.93,3917562,566.74,567,547.9
3/9/16,559.47,4374825,559.56,560.35,550.125
3/8/16,560.26,4727151,557.87,571.35,554.74
3/7/16,562.8,4928519,573.54,573.63,555.55
3/4/16,575.14,3413742,581.07,581.4,571.065
3/3/16,577.49,2737763,577.96,579.866,573.11
3/2/16,580.21,4579461,581.75,585,573.7
3/1/16,579.04,5024654,556.29,579.25,556
2/29/16,552.52,4140465,554,564.81,552.51
2/26/16,555.23,4870280,560.12,562.5,553.17
2/25/16,555.15,4521887,555.52,559.39,545.2946
2/24/16,554.04,6222914,545.75,554.27,533.1501
2/23/16,552.94,4046481,555.55,556.91,545.33
2/22/16,559.5,5555615,542.2,560.65,541.08
2/19/16,534.9,4972834,520.71,535.95,515.35
2/18/16,525,4733213,541.19,541.2,523.73
2/17/16,534.1,4820780,528.74,537.48,519.39
2/16/16,521.1,5112648,519.48,524.45,511.66
2/12/16,507.08,5371180,510.7,516.75,501.4932
2/11/16,503.82,7390411,491.17,509.3,484
2/10/16,490.48,6763135,491.76,504.66,486
2/9/16,482.07,7055921,478.01,498.38,474
2/8/16,488.1,9816331,486.47,493.5,475.21
2/5/16,502.13,9683685,529.28,529.45,499.19
2/4/16,536.26,6190328,525,538.99,519.2201
2/3/16,531.07,10043300,553.5,556,521.9
2/2/16,552.1,6297634,570,571.56,550.09
2/1/16,574.81,6337926,578.15,581.8,570.31
1/29/16,587,14666690,571.98,593,570
1/28/16,635.35,13639700,608.37,638.06,597.55
1/27/16,583.35,5103760,601.99,603.39,578.78
1/26/16,601.25,3755042,603.45,604.5,590.38
1/25/16,596.53,4386098,597.99,608.5,594.56
1/22/16,596.38,5104594,588.73,600.1,584.1079
1/21/16,575.02,4937346,573.58,588.81,568.22
1/20/16,571.77,7957643,564.36,578.45,547.18
1/19/16,574.48,4801408,577.09,584,566.45
1/15/16,570.18,7776868,572.24,584.62,565.3
1/14/16,593,7225454,580.25,602.25,569.88
1/13/16,581.81,7643288,620.88,620.88,579.16
1/12/16,617.89,4705651,625.25,625.99,612.2415
1/11/16,617.74,4874135,612.48,619.85,598.57
1/8/16,607.05,5502757,619.66,624.14,606
1/7/16,607.94,7040886,621.8,630,605.21
1/6/16,632.65,5319526,622,639.79,620.31
1/5/16,633.79,5814063,646.86,646.91,627.65
1/4/16,636.99,9301459,656.29,657.715,627.51
12/31/15,675.89,3745197,686.08,687.75,675.89
12/30/15,689.07,3515318,691.89,695.49,686.375
12/29/15,693.97,5729914,677.98,696.44,677.8893
12/28/15,675.2,3778019,665.56,675.5,665.5
12/24/15,662.79,1092970,663.35,664.68,660.6
12/23/15,663.7,2717739,666.5,666.597,656.63
12/22/15,663.15,2666245,666.83,668.49,659.26
12/21/15,664.51,3219507,668.5,669.9,658.93
12/18/15,664.14,6817065,668.65,676.84,664.13
12/17/15,670.65,3672133,680,682.5,670.65
12/16/15,675.77,3955385,663.56,677.35,659.32
12/15/15,658.64,4743133,665.03,671.5,657.35
12/14/15,657.91,4340805,641.75,658.585,635.27
12/11/15,640.15,5459737,651.23,657.88,639.62
12/10/15,662.32,3446523,665.59,668.526,659.56
12/9/15,664.79,5150488,678,679,655.68
12/8/15,677.33,3646397,663.13,679.99,659.79
12/7/15,669.83,3730440,674.74,675.46,660.5
12/4/15,672.64,4532424,666,674.775,661.4
12/3/15,666.25,5058428,679.44,682.79,661.48
12/2/15,676.01,4265404,681,684.82,674.25
12/1/15,679.06,4747651,673.75,681,667.86
11/30/15,664.8,5492054,675.9,681.29,664.6
11/27/15,673.26,1966801,680.8,680.99,672.1
11/25/15,675.34,2690424,675,679.7,671.24
11/24/15,671.15,4536359,674.14,675.8,661.2125
11/23/15,678.99,4377862,671.5,682.77,668.45
11/20/15,668.45,3872690,667.94,668.87,657.57
11/19/15,661.27,4702856,664.99,672.86,659
11/18/15,663.54,4414554,646.51,664.88,646.37
11/17/15,643.3,4317848,650.65,653.25,641
11/16/15,647.81,7425083,640.92,649.99,622.29
11/13/15,642.35,6242100,663.57,667,640.45
11/12/15,665.6,4267454,673,675.64,664.22
11/11/15,673.25,5378403,663.25,675.96,663.25
11/10/15,659.68,3478282,651.01,660,647.262
11/9/15,655.49,4042991,658.65,661.955,647.8477
11/6/15,659.37,4088119,655,662.26,652
11/5/15,655.65,4721977,647.1,657,643.0901
11/4/15,640.95,4836452,627.76,645.93,627.35
11/3/15,625.31,3244640,629.53,629.89,622
11/2/15,628.35,2811340,627.13,628.63,620.41
10/30/15,625.9,3871136,626.01,630.72,625.28
10/29/15,626.55,3861249,617.7,627.54,615.39
10/28/15,617.1,3916263,612.3,617.23,609.5
10/27/15,611.01,3740923,608.6,614.71,605.53
10/26/15,608.61,4266364,602.3,609.85,596.29
10/23/15,599.03,10682230,617.68,619.45,595.36
10/22/15,563.91,7586947,562.7,569.146,556.67
10/21/15,555.77,3354070,563.87,565.25,552.52
10/20/15,560.88,4341325,572,573,555.28
10/19/15,573.15,4342881,570.76,579,567.38
10/16/15,570.76,4307995,565.27,570.94,560.31
10/15/15,562.44,4927031,547.75,563,547
10/14/15,544.83,3573734,551.34,552.25,539.68
10/13/15,548.9,2933013,546.26,553.2,543.1
10/12/15,550.19,2772781,539.96,550.82,539.8
10/9/15,539.8,3533043,534.48,541.79,530.27
10/8/15,533.16,4666489,536.71,539.386,519.89
10/7/15,541.94,3807102,541.79,542,529
10/6/15,537.48,4541673,545.5,551.5,533.33
10/5/15,543.68,3383967,536.99,545.91,536
10/2/15,532.54,4592095,512.99,532.6,508.1
10/1/15,520.72,3744188,511,520.8,506
9/30/15,511.89,3996159,505.44,512.8,501.6724
9/29/15,496.07,4455453,506,511.48,490.5
9/28/15,504.06,5416847,520.02,520.28,494.3337
9/25/15,524.25,3922075,542.57,542.8,521.4
9/24/15,533.75,3494202,530.55,534.56,522.87
9/23/15,536.07,2233675,538.3,541.21,534
9/22/15,538.4,3833073,539.71,543.55,532.66
9/21/15,548.39,3276266,544.33,549.78,539.59
9/18/15,540.26,6154510,534.62,546.237,531.35
9/17/15,538.87,4146066,526.98,546.97,526.57
9/16/15,527.39,2249062,521.98,528.3,518.52
9/15/15,522.37,2849063,523.25,527.92,517.2
9/14/15,521.38,3127206,529.44,532.45,518.58
9/11/15,529.44,3224850,521.07,529.44,520.605
9/10/15,522.24,2568076,515.15,526.13,514.78
9/9/15,516.89,4348685,524,529.95,515.06
9/8/15,517.54,3805809,508.69,518.35,508.5144
9/4/15,499,2687005,497.65,502.85,495.64
9/3/15,504.72,3143336,514.5,515.84,502.57
9/2/15,510.55,3693798,505.09,510.86,497.72
9/1/15,496.54,3850262,499.14,510,493.43
8/31/15,512.89,2995288,516.44,519.41,509.07
8/28/15,518.01,2744599,517.5,521.5,513.04
8/27/15,518.37,6094488,513.71,522.69,507.261
8/26/15,500.77,6336253,484.02,503.72,478.76
8/25/15,466.37,5663689,487.49,489.44,466.25
8/24/15,463.37,10073890,463.58,489.76,451
8/21/15,494.47,6699569,507.36,512.33,494.47
8/20/15,515.78,4396219,530.39,533.25,515.77
8/19/15,532.92,2319977,533.74,537.25,529
8/18/15,535.02,2070178,535.04,539.49,533
8/17/15,535.22,2578646,531.29,538.74,527.12
8/14/15,531.52,1992026,528.25,534.11,528.25
8/13/15,529.66,2889732,527.37,534.66,525.4846
8/12/15,525.91,4013276,523.75,527.5,513.06
8/11/15,527.46,2671531,523.65,528.98,522
8/10/15,524,2608601,528.52,532.2764,523
8/7/15,522.62,3961597,529.16,529.4599,518.21
8/6/15,529.46,3814499,539.3,542.74,527.52
8/5/15,537.01,2887675,538.8,539.14,534.119
8/4/15,531.9,2926462,529.69,536.95,529.163
8/3/15,535.03,3004564,537.45,540.44,529.36
7/31/15,536.15,2980011,539.09,542.84,534.5201
7/30/15,536.76,3738558,527.65,539.2,524.29
7/29/15,529,3742816,530.92,532.9655,525.02
7/28/15,526.03,5265864,536,536.39,523.12
7/27/15,531.41,7485538,527.75,544.95,526.6
7/24/15,529.42,21854940,578.99,580.57,529.35
7/23/15,482.18,8904893,491.66,491.66,475.7
7/22/15,488.27,3098513,485.99,492.5,484.9
7/21/15,488,3160014,487.9,488.88,482.55
7/20/15,488.1,4737976,492.57,493.2,485.4
7/17/15,483.01,4927238,477.7,485.42,477.25
7/16/15,475.48,4081118,465.5,475.88,464.8
7/15/15,461.19,2983710,463.04,464.7,460.2
7/14/15,465.57,4730098,462.32,469.6,458.16
7/13/15,455.57,3946441,448.29,457.87,447.54
7/10/15,443.51,2398160,440.49,444.72,439
7/9/15,434.39,2266851,434.9,438.72,434.15
7/8/15,429.7,2380426,434.35,435.99,428.83
7/7/15,436.72,3453557,435.68,437.73,425.57
7/6/15,436.04,1902889,435.23,439.73,433.52
7/2/15,437.71,1341938,437,438.2,433.48
7/1/15,437.39,1985409,439.35,440,435.58
6/30/15,434.09,2595616,434.2,435.57,430.46
6/29/15,429.86,2745119,434.98,437,429
6/26/15,438.1,2623536,441.76,443.49,435.06
6/25/15,440.1,2236818,438.07,443.47,436.39
6/24/15,440.84,2619568,444.97,446.47,440.23
6/23/15,445.99,3239099,435.59,447.04,433.69
6/22/15,436.29,1768342,437,439.24,434.18
6/19/15,434.92,4491439,440.26,444.99,433.24
6/18/15,439.39,3374401,430.3,439.73,429.405
6/17/15,427.81,2184858,428.36,431.35,424.753
6/16/15,427.26,2296924,424.15,427.97,422.67
6/15/15,423.67,2048590,427.66,428.05,422.64
6/12/15,429.92,2052699,431.25,432.36,428.26
6/11/15,432.97,2921969,432.29,438.89,431.47
6/10/15,430.77,2170425,426.46,432.2,425.66
6/9/15,425.48,2286910,422.96,427.49,419.14
6/8/15,423.5,2171525,425.62,426.8,421.425
6/5/15,426.95,1905461,429.66,430.8,426.5
6/4/15,430.78,2508063,434.4,436.755,429.26
6/3/15,436.59,2726798,434.4,438.39,432.75
6/2/15,430.99,1669803,430.07,433.23,426.25
6/1/15,430.92,2251885,430.4,433.16,426.2
5/29/15,429.23,3014703,427.23,432.5,427.23
5/28/15,426.57,1908236,429.71,431.35,425.47
5/27/15,431.42,2227888,427.45,431.85,425.01
5/26/15,425.47,2239411,426.2,427,422
5/22/15,427.63,2018905,431.55,432.44,427.61
5/21/15,431.63,4115003,428,436.9,428
5/20/15,423.86,2192808,420.6,427.1,418.36
5/19/15,421.71,2464309,424.87,428.24,420.63
5/18/15,425.24,2389023,426,427.27,421.46
5/15/15,426,4234294,428,430.3962,424.3
5/14/15,432.28,1883300,429.45,433,427.01
5/13/15,426.87,1995586,429.98,433.528,425.8
5/12/15,431.02,1946725,431.08,433.25,426.71
5/11/15,432.85,2391479,432.51,439,431.37
5/8/15,433.69,2907934,430.75,435.2,430.174
5/7/15,426.88,2762915,424.15,428.5,422.85
5/6/15,419.1,2548175,421.43,422.7165,414.55
5/5/15,421.19,2855612,422.85,427.51,421.02
5/4/15,423.04,2267420,424.8,429.77,422.42
5/1/15,422.87,3428724,423.82,425.64,416
4/30/15,421.78,3645492,427.11,431.75,419.24
4/29/15,429.37,3616655,426.75,434.24,426.03
4/28/15,429.31,4134186,438.51,439,428.04
4/27/15,438.56,5426185,443.86,446.99,437.41
4/24/15,445.1,17160220,439,452.65,439
4/23/15,389.99,7673583,390.21,391.88,386.15
4/22/15,389.8,3470790,391.91,394.28,388
4/21/15,391.18,4639595,391.31,394.6,386.8
4/20/15,389.51,5005286,378.55,391.94,377
4/17/15,375.56,3834778,382.63,383.56,374.4
4/16/15,386.04,2074427,383.69,387.45,383.55
4/15/15,383.45,1928677,384.65,385.78,381.64
4/14/15,385.11,2582297,383.51,387.81,381.2101
4/13/15,382.36,1894399,383.53,385.28,380.14
4/10/15,382.65,2572177,384.31,387.12,381.3151
4/9/15,383.54,2390424,380.66,384.42,378.795
4/8/15,381.2,2634857,374.66,381.58,374.65
4/7/15,374.41,1954217,376.15,379.31,374.03
4/6/15,377.04,3043772,370.1,380.2,369.36
4/2/15,372.25,1872952,370.5,373.28,369
4/1/15,370.255,2454130,372.1,373.16,368.34
3/31/15,372.1,2505578,373.24,377.7,371.51
3/30/15,374.59,1818704,371.87,376.12,371.55
3/27/15,370.56,2606063,367.11,373.17,366.5734
3/26/15,367.35,2929557,369.59,371.4,365.65
3/25/15,370.96,3426602,375.17,380.5,370.285
3/24/15,374.09,2225222,373.99,375.24,372.27
3/23/15,375.11,2238723,378.07,381.77,374.94
3/20/15,378.49,3752350,376.29,379.37,375.92
3/19/15,373.24,1912973,373.87,377.11,372.19
3/18/15,375.135,2645003,369.97,375.99,366.7
3/17/15,371.92,2036686,371.11,374.5,369.64
3/16/15,373.35,2352852,370.38,373.94,366.72
3/13/15,370.58,2610510,371.52,373.99,366.68
3/12/15,374.24,2809715,368.82,375.5,367.52
3/11/15,366.37,2490279,370.61,373.35,366.26
3/10/15,369.51,3111285,377.45,377.77,369.18
3/9/15,378.56,2311182,378.4,379.33,375.28
3/6/15,380.09,2625962,385.52,387,378.88
3/5/15,387.83,2688444,385.61,388.4182,383.89
3/4/15,382.72,2255869,385.71,387.9,382.19
3/3/15,384.61,1945787,383.95,386.1,381.601
3/2/15,385.655,2134110,380.85,385.9,379.481
2/27/15,380.16,2523659,384,385.99,379.79
2/26/15,384.8,2684823,384.07,389.37,383.28
2/25/15,385.37,3167481,377.27,387.85,376.54
2/24/15,378.59,1920509,378.65,380.48,376.16
2/23/15,380.14,2175306,383.44,384.54,378
2/20/15,383.66,3219724,378.62,383.7,375.84
2/19/15,378.995,2948520,373.49,381.88,373.43
2/18/15,373.37,2648954,373.78,376.74,372.85
2/17/15,375.43,3662187,377.72,379.985,372.67
2/13/15,381.83,3472891,378.41,383,377.01
2/12/15,377.17,2790630,375.1,378.51,373.15
2/11/15,375.14,2785533,371.23,377.1,371.1
2/10/15,372.995,2286489,371.19,374.3,368.51
2/9/15,370.56,2675316,371,374.41,367.2
2/6/15,374.28,3888587,374.87,375.9899,371.01
2/5/15,373.89,7243644,366,378.8,365.9
2/4/15,364.75,4167409,358.38,367.5,358.23
2/3/15,363.55,6209015,360.29,367.817,360.21
2/2/15,364.47,10222230,350.05,365,350.01
1/30/15,354.53,23846720,346.32,359.5,340.74
1/29/15,311.78,8067441,304.73,312.8,299.33
1/28/15,303.91,3057997,309.81,311.51,303.8
1/27/15,306.75,2917710,306.3,310.243,302.625
1/26/15,309.66,3168827,311.82,313,307.5201
1/23/15,312.39,4476045,308.08,316.93,307.72
1/22/15,310.32,5338530,300,312.25,300
1/21/15,297.25,10060450,289.64,306,287.26
1/20/15,289.44,3065857,292.59,293.3599,286.39
1/16/15,290.74,3476787,286.28,290.79,285.25
1/15/15,286.95,4410629,294,295.9995,286.815
1/14/15,293.27,5493402,291.93,295.91,286.503
1/13/15,294.74,4135336,297.48,301.4976,293.23
1/12/15,291.41,3406438,297.56,298.51,289.281
1/9/15,296.93,2589914,301.48,302.87,296.68
1/8/15,300.46,3087475,300.32,303.14,296.11
1/7/15,298.42,2630671,297.5,301.28,295.33
1/6/15,295.29,3511003,302.24,303,292.38
1/5/15,302.19,2768215,307.01,308.38,300.85
1/2/15,308.52,2785167,312.58,314.75,306.9601
12/31/14,310.35,2048676,311.55,312.98,310.01
12/30/14,310.3,2091432,309.91,313.94,309.34
12/29/14,312.04,2998390,307.85,314.27,306.58
12/26/14,309.09,2892910,305,310.7799,303.81
12/24/14,303.03,1518107,306.38,307,302.875
12/23/14,306.285,2718349,306.98,307.49,303.252
12/22/14,306.54,3845409,301.94,307.36,301.94
12/19/14,299.9,8613310,296.91,301.54,295.52
12/18/14,297.73,7704984,304.01,304.5,293.25
12/17/14,298.88,4429917,296.37,299.67,293.03
12/16/14,295.06,6489013,304.35,304.49,295.01
12/15/14,306.07,3833767,308.87,310.86,302.15
12/12/14,307.32,3159206,303.99,310.6399,303.01
